SMILES,Drug-like,SAS Score
Br.NC1(CC1)c1ccc(cc1)-c1nc([C@H]2C[C@@](F)(F)C2)n2ccnc(N)c12,True,3.117788132544028
Sc1ccc2C(=O)c3c([nH]c4cc(ccc34)C#N)C(C3CCOCC3)c2c1,True,3.5377669025798664
Br[C@]1(CS(=O)(=O)c2ccc(cc12)N(CC1CC1)C1CC1)C(O)=O,True,3.719931181362175
SN(CC=C)C(=O)Nc1ccc(Cl)c(Cl)c1,True,2.626986757995917
c1ccc(Cl)cc2CN(CCC(O)=O)[C@@H]1Cc1cc(F)ccc21,True,4.82132185330013
c1nc(c([nH]1)-c1ccc(cc1)C#N)-c1nncn1C1CC1,True,2.7766703543539855
n1c(ncc1=O)-c1ccncc1OCCc1ccccc1,True,2.6130532978515255
P([O-])(=O)OCCNCCNC(=O)C(c1ccc(Cl)cc1)c1ccc(cc1)S(C)(=O)=O,True,3.555419866427881
Sc1nc(c(o1)C(=O)c1ccsc1)-c1ccc(cc1)C#N,True,2.933951312739863
[B@@H](CN1CCNCC1)NC(=O)Cc1ccc2ccccc2n1,True,3.086408090914566
S(=O)(=O)c1ccccc1-c1cc2ccccc2n1-c1nccs1,True,2.9696369027097695
n1ncc(Nc2nc(Cl)cn(CC3CC3)c3C(=O)CCCc23)c1=O,True,4.03635904833391
Sc1nc(Nc2ccc(cc2O)N2CCOCC2=O)c(cn1)N1CCCCC1,True,3.0089272027823206
c1cnc(N1C[C@@H](CC12CCCC1)c1ccccc1)[C@@H]2CO,True,4.085097751209079
Sc1cc(nc(c1)C(=O)N1CC(CC#N)C1)C#N,True,3.3120951748145204
c1ccc(NC(=O)c2cnn(c2)-c2ccccc2)cc1NC1CCOCC1,True,2.1540080772226347
Sc1ccc(C=NNC(=S)NCCc2ccccc2)cc1,True,2.196332649435952
BrOc1ccccc1C(=O)N1CCC2(C[C@H]1N)c1ccccc1O2,True,4.137535204186769
Sc1nc(N2CCCCC2)n2nc(cc2n1)-c1ccc(F)cc1,True,2.6589788085651076
[Se+].CCn1cc(nn1)[C@H]1CC[C@H](C)N(Cc2ccc3[nH]ccc3c2)C1,True,3.584826061238103
S[C@@H]1OC[C@H](NC(=O)COc2ccc(cc2)-c2ccc(Br)cc2)[C@@H](O)[C@H]1O,True,3.54832552249761
Sc1nc(ccc1C#N)-c1ccnc(NCc2cccs2)n1,True,2.7749360975713735
c1nn(CCC1=O)c1nc(N)sc1COc1ccc(F)cc1,True,3.069242038505438
Sc1nc2c3CCNCc3oc2c(=O)n1-c1cncs1,True,3.803108898839713
c1ccc(CCS(=O)(=O)c2[nH]c3ncccc3c2N1)C1CCCCC1,True,3.866113843450057
Br.Cl.Cc1ccc(cc1)C1=C(C(=O)OC1)c1ccccc1C,True,2.3245888069911906
c1nn(CCCC(O)=O)n(CC(=O)NCCCCC(O)=O)c1=O,True,2.838746366380427
c1ccc(cc1Br)S(=O)(=O)c1cccc(c1)C1=NCCN1,True,2.3754390050475553
Sc1nc(nc(n1)-c1ccccc1)-c1ccco1,True,2.429635164743729
SC(=N)ON1C(=S)S\C(=C/c2ccco2)C1=O,True,3.4882593805312263
SN(Cc1nc2cccnc2[nH]1)C1CCCc2cccnc12,True,3.4620680849108485
